time,seconds_elapsed,z,y,x
1772812369519514400,0.098514404296875,0,0,0
1772812369529215000,0.108215087890625,0.05794525146484375,-0.009327888488769531,-0.00863945484161377
1772812369538915300,0.117915283203125,0.1266641616821289,-0.001994520425796509,-0.03163653612136841
1772812369548616700,0.12761669921875,0.13709545135498047,-0.0038108229637145996,-0.07170712947845459
1772812369558317300,0.1373173828125,0.051634788513183594,-0.029582470655441284,-0.1403629183769226
1772812369568018200,0.14701806640625,-0.016143798828125,0.016463756561279297,-0.18588805198669434
1772812369577719000,0.156718994140625,-0.14959144592285156,0.10105201601982117,-0.22682932019233704
1772812369587419600,0.166419677734375,-0.2927875518798828,0.07304155826568604,-0.24510616064071655
1772812369597120500,0.17612060546875,-0.3325958251953125,0.04731959104537964,-0.2983825206756592
1772812369606821400,0.1858212890625,-0.2987184524536133,0.03935331106185913,-0.331233948469162
1772812369616522000,0.19552197265625,-0.27893924713134766,0.0779842734336853,-0.350029319524765
1772812369626222800,0.205222900390625,-0.14166927337646484,0.08504527807235718,-0.35205793380737305
1772812369635923700,0.214923828125,0.00046062469482421875,0.05337035655975342,-0.3173503875732422
1772812369645624600,0.22462451171875,0.11018562316894531,-0.009540289640426636,-0.2882711887359619
1772812369655325200,0.2343251953125,0.2378091812133789,-0.053060948848724365,-0.21585524082183838
1772812369665026000,0.244026123046875,0.3743734359741211,-0.06378132104873657,-0.14403247833251953
1772812369674727000,0.253726806640625,0.5181035995483398,-0.07701528072357178,-0.12285923957824707
1772812369684427500,0.263427490234375,0.6366233825683594,-0.08264288306236267,-0.15213289856910706
1772812369694128400,0.27312841796875,0.6024684906005859,-0.07717147469520569,-0.1282840073108673
1772812369703829200,0.282829345703125,0.5785417556762695,-0.10006150603294373,-0.1136704683303833
1772812369713529900,0.29252978515625,0.5526838302612305,-0.10265599191188812,-0.08816294372081757
1772812369723230700,0.302230712890625,0.5373334884643555,-0.07209551334381104,-0.11757390946149826
1772812369732931600,0.311931640625,0.4803457260131836,-0.12325379252433777,-0.14075498282909393
1772812369742632200,0.321632080078125,0.3946084976196289,-0.13064324855804443,-0.16906943917274475
1772812369752333000,0.3313330078125,0.28433704376220703,-0.10801008343696594,-0.19971449673175812
1772812369762034000,0.341033935546875,0.1512126922607422,-0.11542734503746033,-0.21772851049900055
1772812369771734800,0.35073486328125,0.12008094787597656,-0.07631763815879822,-0.2509763538837433
1772812369781435400,0.360435302734375,0.1156463623046875,-0.053109437227249146,-0.24365335702896118
1772812369791136300,0.37013623046875,0.1265697479248047,-0.06092864274978638,-0.21639671921730042
1772812369800837000,0.379837158203125,0.1639413833618164,-0.08584311604499817,-0.17126691341400146
1772812369810537700,0.389537841796875,0.20731163024902344,-0.045833125710487366,-0.14679482579231262
1772812369820238600,0.399238525390625,0.2275838851928711,0.037600696086883545,-0.1251591295003891
1772812369829939500,0.408939453125,0.15468120574951172,0.04465046525001526,-0.1017940565943718
1772812369839640000,0.41864013671875,0.1096200942993164,0.026822417974472046,-0.09478901326656342
1772812369849341000,0.4283408203125,0.06708908081054688,0.0005140900611877441,-0.06135961785912514
1772812369859041800,0.438041748046875,0.04785728454589844,-0.013783961534500122,-0.00901300460100174
1772812369868742400,0.447742431640625,0.013991355895996094,-0.032272666692733765,0.06500963866710663
1772812369878443300,0.457443359375,0.029911041259765625,-0.0749567300081253,0.1142829954624176
1772812369888144100,0.46714404296875,0.10489082336425781,-0.08169020712375641,0.15471027791500092
1772812369897845000,0.476844970703125,0.11859798431396484,-0.07048681378364563,0.09397858381271362
1772812369907545600,0.486545654296875,0.13559913635253906,-0.05163256824016571,0.021107301115989685
1772812369917246500,0.49624658203125,0.1184682846069336,-0.02676299214363098,-0.029398364946246147
1772812369926947300,0.505947265625,0.04693126678466797,-0.017745941877365112,-0.009796913713216782
1772812369936648000,0.51564794921875,0.005124092102050781,-0.045500606298446655,0.020343832671642303
1772812369946348800,0.525348876953125,-0.018219947814941406,-0.05444423854351044,0.08528533577919006
1772812369956049700,0.535049560546875,-0.08675575256347656,-0.049197375774383545,0.11619344353675842
1772812369965750300,0.544750244140625,-0.10123920440673828,-0.07072624564170837,0.10223281383514404
1772812369975451100,0.554451171875,-0.09793949127197266,-0.06248350441455841,0.08201412856578827
1772812369985152000,0.564152099609375,-0.04202842712402344,-0.03028997778892517,0.004470787942409515
1772812369994852600,0.5738525390625,-0.035325050354003906,-0.0147971510887146,-0.06882569193840027
1772812370004553500,0.583553466796875,-0.014695167541503906,-0.02619272470474243,-0.10921148955821991
1772812370014254300,0.59325439453125,-0.04140186309814453,-0.03726133704185486,-0.1318812519311905
1772812370023955200,0.602955078125,-0.017151832580566406,-0.044300377368927,-0.10325631499290466
1772812370033655800,0.61265576171875,-0.013318061828613281,-0.08894211053848267,-0.03482138365507126
1772812370043356700,0.622356689453125,-0.021305084228515625,-0.11277748644351959,-0.0006132014095783234
1772812370053057500,0.6320576171875,0.0013914108276367188,-0.06546643376350403,-0.02066476084291935
1772812370062758100,0.641758056640625,-0.018639564514160156,0.009882956743240356,-0.04313845559954643
1772812370072459000,0.651458984375,0.03690338134765625,0.02958056330680847,-0.07940979301929474
1772812370082159900,0.661159912109375,0.07623863220214844,0.04072368144989014,-0.08808966726064682
1772812370091860500,0.670860595703125,0.1078939437866211,0.043094128370285034,-0.04197891801595688
1772812370101561300,0.680561279296875,0.1602153778076172,0.0199030339717865,0.036844659596681595
