time,seconds_elapsed,z,y,x
1772812220682732500,0.090732666015625,-0.026038112118840218,0.00603228947147727,-0.08323032408952713
1772812220692433200,0.10043310546875,-0.019624030217528343,-0.014126247726380825,-0.08933897316455841
1772812220702133500,0.110133544921875,-0.004657844081521034,-0.025121813639998436,-0.09850194305181503
1772812220711834000,0.119834228515625,0.005421424750238657,-0.031841326504945755,-0.10797034949064255
1772812220721534700,0.12953466796875,0.005421424750238657,-0.024205517023801804,-0.10430516302585602
1772812220731235300,0.1392353515625,-0.0025198173243552446,-0.01565340906381607,-0.10094540566205978
1772812220740936000,0.14893603515625,-0.011682788841426373,-0.0058795735239982605,-0.08567378669977188
1772812220750636500,0.158636474609375,-0.014431680552661419,-0.005574141163378954,-0.07070759683847427
1772812220760337200,0.168337158203125,-0.00679587060585618,-0.007406735327094793,-0.05940660089254379
1772812220770037800,0.178037841796875,0.001450803829357028,-0.0031306820455938578,-0.05238165333867073
1772812220779738400,0.18773828125,0.000839939049910754,0.004199695307761431,-0.043829549103975296
1772812220789439000,0.19743896484375,-0.004046979360282421,0.013057234697043896,-0.034666575491428375
1772812220799139600,0.2071396484375,-0.002825249684974551,0.01000291109085083,-0.024281874299049377
1772812220808840200,0.216840087890625,-0.0031306820455938578,-0.00007635809743078426,-0.014202605932950974
1772812220818540800,0.226540771484375,-0.009850194677710533,-0.0025198173243552446,-0.010842849500477314
1772812220828241400,0.236241455078125,-0.025732679292559624,0.010919207707047462,-0.008399390615522861
1772812220837942000,0.24594189453125,-0.04283689334988594,0.023747367784380913,-0.0154243353754282
1772812220847642600,0.255642578125,-0.052916161715984344,0.0322994738817215,-0.023365577682852745
1772812220857343200,0.26534326171875,-0.05047270283102989,0.023441936820745468,-0.03649916872382164
1772812220867043800,0.2750439453125,-0.03733910992741585,0.015806125476956367,-0.03711003437638283
1772812220876744400,0.284744384765625,-0.02176205813884735,0.0035888305865228176,-0.028557928279042244
1772812220886445000,0.294445068359375,-0.011988221667706966,-0.010155626572668552,-0.01695149764418602
1772812220896145700,0.304145751953125,-0.00923932995647192,-0.0193185992538929,-0.0062613640911877155
1772812220905846300,0.31384619140625,-0.004963276442140341,-0.018096869811415672,0.0001527161948615685
1772812220915547000,0.323546875,-0.0025198173243552446,-0.00954476185142994,0.005345067009329796
