time,seconds_elapsed,z,y,x
1772811089360357000,0.326357177734375,-4.398622512817383,-1.313222885131836,5.217008590698242
1772811089380120000,0.3461201171875,-11.231563568115234,-3.6109399795532227,3.9279122352600098
1772811089399883300,0.36588330078125,-7.134863376617432,-3.3515329360961914,-0.8923677802085876
1772811089419646500,0.385646484375,0.7770481109619141,2.601531982421875,-9.900747299194336
1772811089439409700,0.40540966796875,4.369541168212891,1.9163522720336914,-7.878664016723633
1772811089459172600,0.425172607421875,5.410292625427246,-4.960898399353027,0.8411710262298584
1772811089478935800,0.444935791015625,1.8163938522338867,-6.225000381469727,3.095731258392334
1772811089498698200,0.4646982421875,0.04651165008544922,-2.426565170288086,0.015389680862426758
1772811089518459600,0.484459716796875,-3.118053913116455,-1.996385931968689,-2.933873176574707
1772811089538220800,0.504220703125,-3.5799927711486816,-2.758847951889038,-3.3067920207977295
1772811089557982000,0.52398193359375,-1.7633471488952637,-3.847933292388916,-1.9902265071868896
1772811089577743000,0.5437431640625,-2.2230844497680664,-4.02496337890625,-1.4943187236785889
1772811089597504300,0.563504150390625,-1.5162625312805176,-3.397199869155884,-3.6603779792785645
1772811089617265400,0.583265380859375,-3.959784984588623,-4.272336483001709,-0.7134914398193359
1772811089637026800,0.60302685546875,-3.3273682594299316,-4.5313568115234375,0.6904296875
1772811089656788000,0.6227880859375,-2.1869144439697266,-5.582420825958252,0.9682321548461914
1772811089676549000,0.642549072265625,-0.41089391708374023,-5.663593769073486,0.0689239501953125
1772811089696310300,0.662310302734375,-0.05842447280883789,-6.590167045593262,-0.16965532302856445
1772811089716071400,0.682071533203125,0.2870635986328125,-8.660396575927734,-1.1984152793884277
1772811089735832600,0.70183251953125,-0.33773088455200195,-10.00183391571045,-2.3338804244995117
1772811089755593700,0.72159375,-4.207999229431152,-11.569828987121582,-4.14979887008667
1772811089775355100,0.741355224609375,-8.636089324951172,-13.09682559967041,-4.639262676239014
1772811089795116300,0.7611162109375,-9.118134498596191,-15.025718688964844,-1.2603940963745117
1772811089814877400,0.78087744140625,-5.834757328033447,-15.000497817993164,6.306316375732422
1772811089834638600,0.800638671875,-1.570036768913269,-11.3717041015625,13.44384479522705
1772811089854399700,0.820399658203125,2.5546369552612305,-7.234434604644775,17.985336303710938
1772811089874161000,0.840160888671875,3.861982822418213,-1.7785181999206543,14.528050422668457
1772811089893922000,0.859922119140625,2.614734411239624,-1.541456937789917,9.644386291503906
1772811089913683500,0.879683349609375,3.7138829231262207,-1.5259974002838135,4.294370651245117
1772811089933444600,0.899444580078125,5.075294494628906,-1.5918667316436768,1.102151870727539
1772811089953205800,0.919205810546875,5.050825119018555,-1.9748280048370361,0.20096111297607422
1772811089972967000,0.938966796875,4.261911869049072,-2.431490898132324,0.12472915649414062
1772811089992728000,0.95872802734375,3.719207286834717,-2.591636896133423,-0.12771034240722656
1772811090012490200,0.978490234375,3.206179618835449,-2.9004855155944824,-0.08314228057861328
1772811090032252400,0.99825244140625,3.13275408744812,-3.1235532760620117,-0.2424907684326172
1772811090052014600,1.0180146484375,3.862363576889038,-2.989687919616699,-0.83013916015625
1772811090071776800,1.03777685546875,4.042217254638672,-2.6946499347686768,-1.5348143577575684
1772811090091538700,1.05753857421875,3.247795343399048,-2.526524543762207,-2.0396275520324707
1772811090111300900,1.07730078125,2.7696962356567383,-2.2600746154785156,-2.1791892051696777
1772811090131063000,1.09706298828125,2.3837249279022217,-2.042001247406006,-1.8250837326049805
1772811090150825200,1.1168251953125,1.9770667552947998,-2.176039934158325,-1.1146693229675293
1772811090170587400,1.13658740234375,1.619307279586792,-2.440617799758911,-0.8951373100280762
1772811090190349600,1.156349609375,1.0020031929016113,-2.448281764984131,-1.7463579177856445
1772811090210111500,1.176111572265625,-0.2661433219909668,-2.865102767944336,-2.851121425628662
1772811090229873700,1.195873779296875,-1.019096851348877,-3.100792646408081,-3.9277405738830566
1772811090249635800,1.2156357421875,-1.3013324737548828,-3.093501091003418,-4.434289455413818
1772811090269398000,1.23539794921875,-1.070063591003418,-3.1403965950012207,-4.251454830169678
1772811090289160200,1.25516015625,-0.5714569091796875,-3.127946376800537,-3.6172537803649902
1772811090308922400,1.27492236328125,0.03232306241989136,-3.1726598739624023,-2.6479201316833496
1772811090328684300,1.294684326171875,0.34589654207229614,-3.2500486373901367,-1.6399202346801758
